geografia,desfecho,modelo,termo,or,ic95_inf,ic95_sup,p_valor,significancia
Belo Horizonte,Mais de 1,Geral,"C(renda, Treatment('Até R$1620'))[T.R$2300 a R$4600]",0.2430260415761099,0.042772703089336846,1.3808259150887536,0.11050698770815172,
Belo Horizonte,Mais de 1,Geral,"C(dif_andar, Treatment('Sem mobilidade reduzida'))[T.Com mobilidade reduzida]",0.17780646528931188,0.0422111074301717,0.7489767746790116,0.018576305745672986,*
Belo Horizonte,Mais de 1,Geral,idade1,0.9794210615147629,0.9019523750453293,1.0635435332053929,0.6208844379819989,
RMBH,Pelo menos 1,Demográfico,Intercept,0.33885938738846566,0.019251589554304224,5.964478106983835,0.45957496921006147,
RMBH,Pelo menos 1,Demográfico,"C(sexo, Treatment('Masculino'))[T.Feminino]",2.681443997110727,1.4849569132986844,4.84198689217788,0.0010706581407696166,**
RMBH,Pelo menos 1,Demográfico,"C(raca, Treatment('Brancos'))[T.Negros]",1.5097719116779689,0.8588028531953098,2.654172860291328,0.15238433995992437,
RMBH,Pelo menos 1,Demográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Casado/a]",2.37589976546769,0.9092909639501644,6.208023525304499,0.07740936525132651,+
RMBH,Pelo menos 1,Demográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Separado/a]",1.110863510074106,0.33612297171417904,3.671328180043303,0.8631386477124822,
RMBH,Pelo menos 1,Demográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Viúvo/a]",2.0716208284591615,0.7488694408514845,5.730789137324319,0.1606403246514193,
RMBH,Pelo menos 1,Demográfico,idade1,0.9753685673487276,0.9383362015765248,1.013862452043873,0.20664347888798562,
RMBH,Pelo menos 1,Sociodemográfico,Intercept,0.29713713100726924,0.01563334539607331,5.647573976418849,0.41925705742073793,
RMBH,Pelo menos 1,Sociodemográfico,"C(sexo, Treatment('Masculino'))[T.Feminino]",2.7220115886809517,1.4736630976036382,5.027843270936165,0.001381539197947598,**
RMBH,Pelo menos 1,Sociodemográfico,"C(raca, Treatment('Brancos'))[T.Negros]",1.5166792060378664,0.8461251222410088,2.7186473413472707,0.16186521242558827,
RMBH,Pelo menos 1,Sociodemográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Casado/a]",2.3710212040007304,0.9066374858108914,6.200649805244947,0.07838472354257542,+
RMBH,Pelo menos 1,Sociodemográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Separado/a]",1.0801752148509933,0.32560789319993483,3.583385167084835,0.899691294752123,
RMBH,Pelo menos 1,Sociodemográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Viúvo/a]",2.097896107732507,0.7575737175858689,5.809557507966664,0.1539460335977651,
RMBH,Pelo menos 1,Sociodemográfico,"C(renda, Treatment('Até R$1620'))[T.Acima de R$4600]",1.0772946784518436,0.47523121511835575,2.442103522033215,0.8584842982969517,
