sexo,raca,idade1,estadocivil,renda,dif_andar,religiao,religiao2
Masculino,Brancos,66,Separado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,63,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,73,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,60,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,1,0
Masculino,Brancos,63,Solteiro/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Brancos,70,Casado/a,Acima de R$4600,Com mobilidade reduzida,0,0
Masculino,Negros,60,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,63,Separado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Brancos,73,,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,74,Solteiro/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,68,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,74,Viúvo/a,Acima de R$4600,Sem mobilidade reduzida,1,1
Masculino,Negros,74,Solteiro/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Negros,74,Separado/a,R$1620 a R$2600,Com mobilidade reduzida,0,0
Feminino,Negros,63,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Negros,68,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,77,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Brancos,67,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,,68,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,68,Separado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Brancos,73,,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Brancos,86,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,67,Separado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,66,Separado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Brancos,64,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Masculino,Brancos,73,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Brancos,89,Solteiro/a,,Com mobilidade reduzida,0,0
Feminino,Brancos,75,Viúvo/a,,Sem mobilidade reduzida,0,0
Feminino,Brancos,62,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,83,Casado/a,Até R$1620,Sem mobilidade reduzida,1,0
Feminino,Negros,60,Solteiro/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,83,Solteiro/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,61,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Brancos,74,Viúvo/a,Até R$1620,Sem mobilidade reduzida,1,0
Masculino,Brancos,76,Separado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,70,Solteiro/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,60,Separado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,64,Solteiro/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,65,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,1,0
Feminino,Brancos,89,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Brancos,66,Casado/a,R$2600 a R$4600,Com mobilidade reduzida,0,0
Feminino,Negros,61,Solteiro/a,Até R$1620,Com mobilidade reduzida,1,0
Masculino,Negros,60,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,69,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,63,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,73,Viúvo/a,R$2600 a R$4600,Com mobilidade reduzida,1,0
Masculino,Negros,62,Casado/a,Até R$1620,Sem mobilidade reduzida,1,1
