code_tract,populacao
310620005650013,451
310620005650014,532
310620005650016,817
310620005650017,432
310620005650018,459
310620005650019,322
310620005650020,525
310620005650021,298
310620005650022,249
310620005650023,382
310620005650024,540
310620005650026,34
310620005650027,384
310620005650029,720
310620005650030,366
310620005650031,451
310620005650032,581
310620005650033,497
310620005650034,372
310620005650035,559
310620005650036,614
310620005650037,0
310620005650038,389
310620005650039,405
310620005650040,470
310620005650041,695
310620005650042,589
310620005650043,529
310620005650044,429
310620005650045,501
310620005650046,685
310620005650053,466
310620005650054,393
310620005650055,618
310620005650056,193
310620005650057,669
310620005650058,449
310620005650059,529
310620005650060,691
310620005650061,559
310620005650062,264
310620005650063,464
310620005650064,448
310620005650065,224
310620005650066,243
310620005650067,511
310620005650068,647
310620005650069,379
310620005650070,411
310620005650071,408
310620005650072,507
310620005650073,534
310620005650074,382
310620005650075,606
310620005650076,357
310620005650077,312
310620005650078,423
310620005650079,391
310620005650081,156
310620005650082,487
310620005650083,530
310620005650084,280
310620005650085,345
310620005650086,236
310620005650087,445
310620005650088,314
310620005650089,398
310620005650090,419
310620005650091,497
310620005650092,474
310620005650093,311
310620005650094,182
310620005650095,310
310620005650096,417
310620005650097,427
310620005650098,569
310620005650099,602
310620005650101,394
310620005650102,157
310620005650103,605
310620005650104,557
310620005650106,588
310620005650107,152
310620005650108,606
310620005650109,632
310620005650110,531
310620005650114,973
310620005650115,914
310620005650116,540
310620005650117,646
310620005650118,740
310620005650119,910
310620005650120,719
310620005650121,650
310620005650122,438
310620005650123,663
310620005650124,388
310620005650125,464
310620005650126,531
310620005650127,637
310620005650129,511
310620005650130,604
310620005650135,212
310620005650136,563
310620005650138,324
310620005650139,643
310620005650140,0
310620005650141,664
310620005650142,580
310620005650143,797
310620005650145,713
310620005650146,896
310620005650147,766
310620005650148,763
310620005650149,390
310620005650150,689
310620005650151,381
310620005650152,736
310620005650155,568
310620005650156,207
310620005650157,532
310620005650158,611
310620005650159,422
310620005650160,562
310620005650161,574
310620005650162,194
310620005650163,289
310620005650164,662
310620005650165,352
310620005650166,690
310620005650167,616
310620005650168,519
310620005650169,393
310620005650170,415
310620005650171,116
310620005650172,471
310620005650173,482
310620005650174,591
310620005650175,351
310620005650176,30
310620005650177,492
310620005650178,717
310620005650180,410
310620005650181,145
310620005650182,382
310620005650183,579
310620005650184,487
310620005650206,636
310620005650208,332
310620005650209,822
310620005650211,420
