id_estabelecimento,cod_setor,latitude,longitude,dsc_estabe,categoria_original,confissao
433,310620005630258P,-19.915702,-43.88097,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
434,310620025610198P,-19.986523,-44.000376,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
435,310620005620652P,-19.932593,-43.903544,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
436,310620005630185P,-19.918758,-43.921777,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
437,310620060690199P,-19.786072,-43.980908,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
438,310620025610634P,-19.985295,-44.028678,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
439,310620025610542P,-20.006922,-44.041188,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
440,310620060690056P,-19.801794,-43.972837,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
441,310620025610444P,-19.995853,-44.048135,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
442,310620060690356P,-19.788303,-43.974264,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
443,310620060660233P,-19.856197,-43.928523,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
444,310620005650671P,-19.911325,-44.019767,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
445,310620005630255P,-19.919931,-43.881349,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
446,310620025610077P,-20.011692,-44.038096,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
447,310620060640037P,-19.83541,-43.892908,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
448,310620005620592P,-19.931206,-43.905617,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
449,310620005630267P,-19.920548,-43.877277,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
450,310620005650447P,-19.919119,-43.983288,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
451,310620060640040P,-19.835091,-43.888694,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
452,310620005630167P,-19.908605,-43.888673,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
453,310620025610015P,-19.997751,-44.027856,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
454,310620005680079P,-19.87057,-44.008053,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
455,310620060640148P,-19.850059,-43.884424,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
456,310620060660124P,-19.84736,-43.942058,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
